datetime,average
2013-12-28 23:32:47,730.48
2013-12-28 23:34:41,727.84
2013-12-28 23:35:43,727.81
2013-12-28 23:36:44,728.59
2013-12-28 23:37:47,729.24
2013-12-28 23:39:42,726.41
2013-12-28 23:40:46,726.99
2013-12-28 23:42:39,726.15
2013-12-28 23:43:43,727.38
2013-12-28 23:45:41,727.72
2013-12-28 23:46:42,725.81
2013-12-28 23:48:43,727.86
2013-12-28 23:49:44,727.35
2013-12-28 23:51:40,727.54
2013-12-28 23:53:46,727.49
2013-12-28 23:55:41,727.83
2013-12-28 23:57:39,729.9
2013-12-28 23:58:42,730.02
2013-12-29 00:00:43,729.59
2013-12-29 00:02:42,727.86
2013-12-29 00:03:44,729.88
2013-12-29 00:05:42,729.44
2013-12-29 00:07:45,730.24
2013-12-29 00:09:42,730.78
2013-12-29 00:10:45,731.78
2013-12-29 00:11:48,732.1
2013-12-29 00:13:42,732.12
2013-12-29 00:14:44,732.01
2013-12-29 00:16:43,734.73
2013-12-29 00:18:44,734.64
2013-12-29 00:19:45,734.7
2013-12-29 00:21:43,735.62
2013-12-29 00:23:46,734.86
2013-12-29 00:25:45,734.13
2013-12-29 00:27:43,733.67
2013-12-29 00:28:44,734.41
2013-12-29 00:30:44,733.65
2013-12-29 00:31:45,733.62
2013-12-29 00:33:01,733.98
2013-12-29 00:34:58,733.84
2013-12-29 00:36:56,732.01
2013-12-29 00:38:00,732.85
2013-12-29 00:39:58,733.0
2013-12-29 00:41:59,733.09
2013-12-29 00:43:58,734.02
2013-12-29 00:45:58,733.74
2013-12-29 00:46:59,732.7
2013-12-29 00:48:55,731.7
2013-12-29 00:49:59,731.57
2013-12-29 00:51:56,730.37
2013-12-29 00:52:58,731.04
2013-12-29 00:54:59,726.64
2013-12-29 00:56:59,725.29
2013-12-29 00:58:57,727.86
2013-12-29 01:00:57,726.36
2013-12-29 01:01:59,727.31
2013-12-29 01:03:55,729.45
2013-12-29 01:05:57,729.02
2013-12-29 01:06:58,730.4
2013-12-29 01:08:58,730.56
2013-12-29 01:10:59,729.85
2013-12-29 01:13:01,729.69
2013-12-29 01:14:59,730.65
2013-12-29 01:16:59,728.4
2013-12-29 01:18:04,728.42
2013-12-29 01:19:59,729.03
2013-12-29 01:21:02,729.07
2013-12-29 01:23:04,729.67
2013-12-29 01:24:57,729.2
2013-12-29 01:25:58,730.91
2013-12-29 01:27:02,731.58
2013-12-29 01:29:05,730.95
2013-12-29 01:30:58,729.54
2013-12-29 01:33:00,733.78
2013-12-29 01:34:13,734.58
2013-12-29 01:36:12,732.61
2013-12-29 01:37:15,732.69
2013-12-29 01:39:11,733.41
2013-12-29 01:40:13,733.23
2013-12-29 01:42:13,732.61
2013-12-29 01:44:13,731.63
2013-12-29 01:45:14,730.79
2013-12-29 01:47:11,729.67
2013-12-29 01:48:13,729.79
2013-12-29 01:49:15,730.02
2013-12-29 01:51:13,725.64
2013-12-29 01:52:18,728.67
2013-12-29 01:54:13,726.69
2013-12-29 01:55:14,728.37
2013-12-29 01:57:15,727.16
2013-12-29 01:59:13,725.82
2013-12-29 02:00:14,724.18
2013-12-29 02:01:15,725.53
2013-12-29 02:03:10,724.5
2013-12-29 02:04:13,722.51
2013-12-29 02:05:14,725.41
2013-12-29 02:07:17,725.01
2013-12-29 02:09:09,725.52
2013-12-29 02:10:13,725.34
2013-12-29 02:11:16,725.13
2013-12-29 02:13:17,727.2
2013-12-29 02:15:15,726.58
2013-12-29 02:17:16,725.89
2013-12-29 02:18:19,726.36
2013-12-29 02:20:16,725.03
2013-12-29 02:22:17,725.63
2013-12-29 02:24:12,725.26
2013-12-29 02:25:18,726.5
2013-12-29 02:26:19,727.44
2013-12-29 02:28:13,726.6
2013-12-29 02:29:17,726.59
2013-12-29 02:31:12,726.38
2013-12-29 02:33:14,726.35
2013-12-29 02:35:27,726.31
2013-12-29 02:37:27,725.67
2013-12-29 02:39:24,725.23
2013-12-29 02:40:28,725.15
2013-12-29 02:42:34,722.66
2013-12-29 02:44:29,725.79
2013-12-29 02:46:24,725.86
2013-12-29 02:47:28,725.66
2013-12-29 02:49:24,726.08
2013-12-29 02:50:28,726.01
2013-12-29 02:51:33,723.25
2013-12-29 02:53:28,723.0
2013-12-29 02:55:30,724.47
2013-12-29 02:56:31,725.93
2013-12-29 02:58:26,724.52
2013-12-29 02:59:27,724.5
2013-12-29 03:00:30,724.61
2013-12-29 03:02:29,724.34
2013-12-29 03:04:27,724.05
2013-12-29 03:05:28,723.36
2013-12-29 03:07:29,724.11
2013-12-29 03:09:32,722.34
2013-12-29 03:11:27,722.93
2013-12-29 03:12:32,723.17
2013-12-29 03:14:29,722.78
2013-12-29 03:16:31,726.78
2013-12-29 03:18:29,726.71
2013-12-29 03:20:37,727.16
2013-12-29 03:22:29,727.67
2013-12-29 03:24:29,725.05
2013-12-29 03:25:31,724.39
2013-12-29 03:26:34,724.27
2013-12-29 03:28:27,727.24
2013-12-29 03:29:31,724.09
2013-12-29 03:31:31,724.57
2013-12-29 03:33:26,725.38
2013-12-29 03:34:28,725.93
2013-12-29 03:36:28,725.95
2013-12-29 03:38:27,723.98
2013-12-29 03:39:33,724.03
2013-12-29 03:41:29,724.66
2013-12-29 03:43:29,723.79
2013-12-29 03:44:30,723.87
2013-12-29 03:45:31,723.82
2013-12-29 03:47:30,723.73
2013-12-29 03:48:34,722.58
2013-12-29 03:50:28,721.2
2013-12-29 03:51:31,721.13
2013-12-29 03:53:31,721.39
2013-12-29 03:54:34,721.02
2013-12-29 03:56:31,717.26
2013-12-29 03:58:28,719.6
2013-12-29 03:59:30,719.46
2013-12-29 04:00:31,715.82
2013-12-29 04:01:33,715.19
2013-12-29 04:03:28,716.38
2013-12-29 04:05:30,716.72
2013-12-29 04:06:34,717.69
2013-12-29 04:08:30,717.73
2013-12-29 04:10:44,716.47
2013-12-29 04:12:28,717.02
2013-12-29 04:14:33,716.09
2013-12-29 04:16:30,715.72
2013-12-29 04:18:30,715.84
2013-12-29 04:20:32,715.42
2013-12-29 04:22:30,714.88
2013-12-29 04:24:32,716.73
2013-12-29 04:25:33,717.2
2013-12-29 04:27:31,715.75
2013-12-29 04:29:28,717.47
2013-12-29 04:31:30,717.69
2013-12-29 04:33:28,717.34
2013-12-29 04:34:30,716.37
2013-12-29 04:35:32,716.52
2013-12-29 04:37:30,714.84
2013-12-29 04:39:32,714.44
2013-12-29 04:41:28,716.6
2013-12-29 04:42:31,713.34
2013-12-29 04:44:28,717.26
2013-12-29 04:45:32,716.21
2013-12-29 04:46:33,716.91
2013-12-29 04:48:31,717.67
2013-12-29 04:50:30,717.04
2013-12-29 04:52:34,716.84
2013-12-29 04:54:30,721.0
2013-12-29 04:55:32,723.69
2013-12-29 04:57:33,722.92
2013-12-29 04:59:33,723.1
2013-12-29 05:01:31,722.4
2013-12-29 05:03:33,723.38
2013-12-29 05:05:30,723.2
2013-12-29 05:07:35,721.77
2013-12-29 05:09:31,721.47
2013-12-29 05:11:33,721.75
2013-12-29 05:13:33,721.36
2013-12-29 05:15:33,723.3
2013-12-29 05:17:32,720.42
2013-12-29 05:19:34,720.54
2013-12-29 05:21:36,720.52
2013-12-29 05:23:34,720.11
2013-12-29 05:25:36,721.35
2013-12-29 05:26:44,723.15
2013-12-29 05:28:35,724.25
2013-12-29 05:30:37,722.48
2013-12-29 05:32:34,723.14
2013-12-29 05:33:36,722.26
2013-12-29 05:35:35,722.1
2013-12-29 05:37:38,723.79
2013-12-29 05:39:33,724.37
2013-12-29 05:40:36,722.76
2013-12-29 05:41:39,722.24
2013-12-29 05:43:35,722.75
2013-12-29 05:44:43,721.47
2013-12-29 05:46:41,720.35
2013-12-29 05:48:40,719.63
2013-12-29 05:50:37,720.34
2013-12-29 05:52:36,720.63
2013-12-29 05:53:39,721.15
2013-12-29 05:55:37,720.86
2013-12-29 05:56:40,718.9
2013-12-29 05:58:39,721.15
2013-12-29 06:00:38,720.93
2013-12-29 06:02:36,719.71
2013-12-29 06:03:41,720.69
2013-12-29 06:05:38,719.69
2013-12-29 06:06:39,721.53
2013-12-29 06:08:41,724.25
2013-12-29 06:10:36,723.27
2013-12-29 06:11:37,723.27
2013-12-29 06:13:36,721.06
2013-12-29 06:14:38,720.64
2013-12-29 06:15:40,720.48
2013-12-29 06:17:42,721.87
2013-12-29 06:18:45,722.1
2013-12-29 06:20:37,719.2
2013-12-29 06:21:39,721.89
2013-12-29 06:22:41,719.27
2013-12-29 06:24:40,722.07
2013-12-29 06:26:44,720.72
2013-12-29 06:28:38,720.89
2013-12-29 06:29:40,723.01
2013-12-29 06:31:37,723.5
2013-12-29 06:32:39,721.19
2013-12-29 06:33:43,723.39
2013-12-29 06:35:38,720.99
2013-12-29 06:37:38,720.92
2013-12-29 06:39:41,721.68
2013-12-29 06:41:41,722.36
2013-12-29 06:43:39,720.89
2013-12-29 06:44:40,723.12
2013-12-29 06:46:39,722.64
2013-12-29 06:47:47,723.28
2013-12-29 06:49:38,722.84
2013-12-29 06:50:41,721.19
2013-12-29 06:52:42,722.25
2013-12-29 06:54:40,722.66
2013-12-29 06:55:42,722.47
2013-12-29 06:56:47,720.52
2013-12-29 06:58:42,720.44
2013-12-29 07:00:43,722.85
2013-12-29 07:02:41,722.03
2013-12-29 07:03:44,720.71
2013-12-29 07:05:43,722.2
2013-12-29 07:07:46,721.7
2013-12-29 07:09:44,721.5
2013-12-29 07:11:43,720.05
2013-12-29 07:12:49,721.57
2013-12-29 07:14:44,721.68
2013-12-29 07:15:51,723.71
2013-12-29 07:17:44,721.91
2013-12-29 07:19:44,721.8
2013-12-29 07:21:42,722.42
2013-12-29 07:22:45,721.81
2013-12-29 07:23:46,722.16
2013-12-29 07:25:48,723.2
2013-12-29 07:27:43,724.48
2013-12-29 07:29:51,724.63
2013-12-29 07:31:51,726.71
